result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
41,duckduckgo,Boris Johnson,Boris Johnson | The Times &amp; The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson wrote a letter recommending his friend Jennifer Arcuri for a high-flying job as the head of a... Sunday October 06 2019,,,,
42,duckduckgo,Boris Johnson,Brexitlunch met Juncker loopt uit op koude douche voor Boris Johnson ...,https://www.volkskrant.nl/nieuws-achtergrond/brexitlunch-met-juncker-loopt-uit-op-koude-douche-voor-boris-johnson~b6d56450/,Brexitlunch met Juncker loopt uit op koude douche voor Boris Johnson. De langverwachte Brexitlunch tussen de Britse premier Boris Johnson en Europese Commissievoorzitter Jean-Claude Juncker heeft maandag niet tot een doorbraak geleid.,100,,,
43,duckduckgo,Boris Johnson,Boris Johnson could be the last prime minister of the United Kingdom - CNN,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
44,duckduckgo,Boris Johnson,Opinion: Boris Johnson,,,,,,
45,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://nl.wikiquote.org/wiki/Boris_Johnson,Johnson probeerde de Britse pingpongers die het moesten opnemen tegen China een hart onder de riem steken,,,,
46,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Boris Johnson says May&#x27;s Brexit plan &#x27;worse than status quo&#x27; BBC News (11 September 2018) [There has been a] collective failure of government,,,,
47,duckduckgo,Boris Johnson,Boris Johnson family photo: Boris with his 4 children ... - express.co.uk,https://www.express.co.uk/news/politics/1141496/boris-johnson-family-photo-children-wife-lara-lettice-cassia-milo-theodore-Stephanie,Who are Boris Johnson&#x27;s children? Boris has been married twice,,,,
48,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://nds-nl.wikipedia.org/wiki/Boris_Johnson,Boris Johnson is ne achterkleinsöäne van Ali Kemal,,,,
49,duckduckgo,Boris Johnson,The Rt Hon Boris Johnson MP - GOV.UK,https://www.gov.uk/government/people/boris-johnson,Boris Johnson became Prime Minister on 24 July 2019. He was previously Foreign Secretary from 13 July 2016 to 9 July 2018. He was elected Conservative MP for Uxbridge and South Ruislip in May 2015. Previously he was the MP for Henley from June 2001 to June 2008.,100,,,
50,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://fi.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (s. 19. kesäkuuta 1964 New York City,,,,
51,duckduckgo,Boris Johnson,David Cameron: Boris Johnson backed Leave to &#x27;help career&#x27; - BBC News,https://www.bbc.co.uk/news/uk-politics-49705213,Image copyright Getty Images Image caption Boris Johnson and David Cameron campaigned together ahead of the 2015 general election Boris Johnson did not believe in Brexit during the referendum campaign and backed Leave &quot;because it would help his political career&quot;,,,,
52,duckduckgo,Boris Johnson,Boris Johnson maakt met zijn optreden een harde Brexit haast ...,https://www.nrc.nl/nieuws/2019/07/27/boris-johnson-maakt-met-zijn-optreden-een-harde-brexit-haast-onvermijdelijk-a3968385,Boris Johnson heeft eindelijk zijn felbegeerde baan en het Verenigd Koninkrijk heeft zijn nieuwe premier. Resteert de Brexit,,,,
53,duckduckgo,Boris Johnson,Boris Johnson roept rebelse partijgenoten op de brexit niet te ...,https://nos.nl/l/2300084,De Britse premier Boris Johnson heeft in een verklaring zijn Conservatieve partijgenoten in het Lagerhuis opgeroepen om de brexit niet opnieuw uit te stellen. Een aantal Tories wil morgen met een Labour-motie meestemmen om een no-deal-brexit te voorkomen.,100,,,
