result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
87,google,Boris Johnson,Boris Johnson and Leo Varadkar to hold crunch Brexit talks ...,https://www.thesun.co.uk/news/brexit/10104003/boris-johnson-and-leo-varadkar-to-hold-crunch-brexit-talks-at-secret-location/,BORIS Johnson and Leo Varadkar are holding crunch Brexit talks at a secret location today as they hope to thrash out a deal over the Northern ...,334000000,1 hour ago ,1570690710
88,google,Boris Johnson,Want to understand Boris Johnson,,,,,
89,google,Boris Johnson,Boris Johnson - NPR,https://www.npr.org/2019/07/04/738228904/he-s-a-flawed-character-and-they-do-not-care-the-rise-of-u-k-s-boris-johnson,Boris Johnson is a larger-than-life British politician who likes to project the image of a bumbling,,,
90,google,Boris Johnson,Commentators consider Boris Johnson's next steps - BBC News,https://www.bbc.com/news/uk-politics-49620650,After suffering a string of parliamentary defeats over Brexit this week,,,
91,google,Boris Johnson,Boris Johnson chosen as new UK leader,,,,,
92,google,Boris Johnson,Who is Boris Johnson,,,,,
93,google,Boris Johnson,Boris Johnson,,,,,
94,google,Boris Johnson,Boris Johnson's Brexit Carnage | The New Yorker,https://www.newyorker.com/news/letter-from-the-uk/boris-johnsons-brexit-carnage,Sam Knight writes on the chaotic week in Parliament,,,
95,google,Boris Johnson,Who is Boris Johnson,,,,,
96,google,Boris Johnson,Brexit Turmoil Intensifies as Court Rebukes Boris Johnson ...,https://www.nytimes.com/2019/09/24/world/europe/uk-supreme-court-brexit.html,Prime Minister Boris Johnson spoke in New York on Tuesday about the British Supreme Court ruling that he illegally suspended Parliament.,334000000,Sep-24,
97,google,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson?lang=en,The latest Tweets from Boris Johnson (@BorisJohnson). Prime Minister of the United Kingdom and @Conservatives leader. MP for Uxbridge and South Ruislip.,334000000,n/a,n/a
98,google,Boris Johnson,Boris Johnson's Brexit talks teeter on brink of collapse. Here's ...,https://www.cnn.com/2019/10/09/uk/boris-johnson-brexit-good-friday-agreement-intl-gbr/index.html,While Boris Johnson is cheered by supporters for his tough talk on Brexit,,,
99,google,Boris Johnson,Boris Johnson launches bid to become UK Prime Minister: live ...,https://www.cnn.com/europe/live-news/boris-johnson-campaign-launch-0612-gbr-intl/index.html,Boris Johnson joins the race: The frontrunner to become Britain's next prime minister officially launched his bid for Downing Street on ...,334000000,Jun-12,
