result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
86,bing,Donald Trump,The Many Scandals of Donald Trump: A Cheat Sheet,https://www.theatlantic.com/politics/archive/2017/01/donald-trump-scandals/474726/,Jan-23,,,,
87,bing,Donald Trump,3 Ways to Meet Donald Trump - wikiHow,https://www.wikihow.com/Meet-Donald-Trump,Jul-25,,,,
88,bing,Donald Trump,"Donald Trump""s Border Wall: A ""Progress"" Report",https://www.nbcnews.com/politics/donald-trump/donald-trump-s-border-wall-progress-report-n764726,May-30,,,,
89,bing,Donald Trump,Live President Donald Trump Popularity Polls – Live Latest ...,http://www.donaldjtrumppolls.com/,Keep up to date on President Trump’s popularity and how the general population perceives his performance. All polling records shown on this website are 100% accurate and reveal the …,81900000,,,
90,bing,Donald Trump,Trump must be impeached. Here’s why.,https://www.washingtonpost.com/opinions/trump-must-be-impeached-heres-why/2017/05/13/82ce2ea4-374d-11e7-b4ee-434b6d506b37_story.html,Scenes from the Republican’s beginning months in the White House. Jan. 25,,,,
91,bing,Donald Trump,Biography of President Donald Trump for Kids,https://www.ducksters.com/biography/uspresidents/donaldtrump.php,Donald Trump is a businessman who became the 45th president of the United States. Kids learn about his biography and life story.,81900000,,,
92,bing,Donald Trump,Donald Trump | Yahoo News - Latest News & Headlines,https://news.yahoo.com/tagged/donald-trump/,"Trump thinks it""s fine to sic Ukraine and China on Biden. Here are some of the problems with that. FEC Chair Ellen Weintraub clarifies the principle behind campaign finance laws outlawing foreign election help.",81900000,,,
93,bing,Donald Trump,Donald Trump Biography - family,,,,,,
94,bing,Donald Trump,Donald Trump | Financial Times,https://www.ft.com/donald-trump,The end of the WeWork boom rattles property markets Donald Trump clears Turkish operation in Syria against Kurds New whistleblower emerges in Trump’s Ukraine scandal,81900000,,,
95,bing,Donald Trump,Donald Trump | TheHill,https://thehill.com/person/donald-trump,The Hill is a top US political website,,,,
96,bing,Donald Trump,Donald Trump GIFs - Get the best GIF on GIPHY,https://giphy.com/explore/donald-trump,Explore and share the best Donald Trump GIFs and most popular animated GIFs here on GIPHY. Find Funny GIFs,,,,
97,bing,Donald Trump,Donald Trump - Haaretz Com,https://www.haaretz.com/misc/tags/TAG-donald-trump-1.5599319,Donald Trump is the president of the United States.. Trump was born in New York on June 14,,,,
98,bing,Donald Trump,Donald Trump (US President) - Bio,,,," and more.""	81900000",,
99,bing,Donald Trump,Donald Trump - BBC News,https://www.bbc.co.uk/news/topics/cp7r8vgl2lgt/donald-trump,Donald Trump. Posted at 1:30. Trump might not get his wall. It might not matter. Thom Poole. BBC News. It might not be big,,,,
