result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
45,bing,Boris Johnson,"Nigel Farage and Boris Johnson: Donald Trump""s friends are ...",https://www.newsweek.com/trump-boris-johnson-farage-theresa-may-resigsn-1435043,Two friends of President Donald Trump,,,,
46,bing,Boris Johnson,Boris Johnson – Wikipédia,https://hu.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (New York,,,,
47,bing,Boris Johnson,Boris Johnson Quotes - BrainyQuote,https://www.brainyquote.com/authors/boris-johnson-quotes,Enjoy the best Boris Johnson Quotes at BrainyQuote. Quotations by Boris Johnson,,,,
48,bing,Boris Johnson,Boris Johnson makes Brexit statement: Live updates - CNN,https://www.cnn.com/europe/live-news/boris-johnson-monday-announcement-dle-gbr-intl/index.html,Sep-02,,,,
49,bing,Boris Johnson,"Is Boris Johnson Ready to be Britain""s Prime Minister ...",https://www.theatlantic.com/international/archive/2019/07/boris-johnson-profile/594379/,Boris Johnson Meets His Destiny. Hailed as a savant,,,,
50,bing,Boris Johnson,Boris Johnson compares Britain to the Incredible Hulk ...,https://www.foxnews.com/world/boris-johnson-compares-britain-incredible-hulk,Using a comic book analogy,,,,
51,bing,Boris Johnson,Who is Boris Johnson dating? Boris Johnson girlfriend,,,,,,
52,bing,Boris Johnson,5 Facts about Boris Johnson | ERLC,https://erlc.com/resource-library/articles/5-facts-about-boris-johnson,Jul-26,,,,
53,bing,Boris Johnson,11 Boris Johnson diplomatic gaffes – POLITICO,https://www.politico.eu/article/11-boris-johnson-diplomatic-gaffes/,Cannibalism and chief-killing. Johnson was forced to apologize to the people of Papua New Guinea after writing in 2006 in the Telegraph: “For 10 years we in the Tory party have become used to Papua New Guinea-style orgies of cannibalism and chief-killing and so it is with a happy amazement that we watch as the madness engulfs the Labour party.”,21800000,,,
54,bing,Boris Johnson,Boris Johnson : NPR,https://www.npr.org/tags/365690980/boris-johnson,Boris Johnson Trades Challenges With Lawmakers In Raucous Return To Parliament. September 25,,,,
55,bing,Boris Johnson,Boris Johnson: what you need to know about the new Tory PM,https://www.snp.org/boris-johnson-what-you-need-to-know-about-the-new-tory-pm/,Jul-24,,,,
56,bing,Boris Johnson,Boris Johnson Net Worth 2018: Wiki,,,,,,
57,bing,Boris Johnson,Boris Johnson MP - Latest news & opinion on the Prime ...,https://www.mirror.co.uk/all-about/boris-johnson,Boris Johnson became Prime Minister of the United Kingdom in July 2019 ...,21800000,,,
58,bing,Boris Johnson,"Boris Johnson""s Prime Minister Campaign: Brexit ...",https://www.nationalreview.com/2019/06/boris-johnson-the-brexit-illusionist/,Boris Johnson talks with reporters at the European Council in Belgium in May. (Yves Herman/Reuters) Does he know what he’s doing? The single biggest issue facing the final two Tory prime ...,21800000,,,
59,bing,Boris Johnson,Amazon.com: The Churchill Factor: How One Man Made History ...,https://www.amazon.com/Churchill-Factor-How-Made-History/dp/1594633983,From London’s inimitable mayor,,,,
60,bing,Boris Johnson,Boris Johnson: The British Donald Trump? | National Review,https://www.nationalreview.com/2019/05/boris-johnson-political-career-donald-trump-brexit/,Then-British foreign secretary Boris Johnson at the European Council headquarters in Brussels,,,,
61,bing,Boris Johnson,"Boris Johnson""s hair history - marieclaire.co.uk",https://www.marieclaire.co.uk/news/celebrity-news/boris-johnson-s-hair-history-3131,Aug-01,,,,
62,bing,Boris Johnson,Boris Johnson | The Times & The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson can secure a Brexit deal as early as next week,,,,
63,bing,Boris Johnson,Boris Johnson’s racist insults,,,,,,
64,bing,Boris Johnson,Boris Johnson Bio,,,,1964, Boris Johnson (Alexander Boris de Pfeffel Johnson) is a British politician," historian and journalist who has served as Secretary of State for Foreign and Commonwealth Affairs since 2016 and as Member of Parliament …""	21800000"
65,bing,Boris Johnson,Boris Johnson flies home to face the anger of MPs ...,https://www.ft.com/content/cff54a8a-deb4-11e9-b112-9624ec9edc59,Sep-25,,,,
66,bing,Boris Johnson,Boris Johnson pushes Britain to brink of an election: Here ...,https://www.cnbc.com/2019/09/04/boris-johnson-pushes-britain-to-brink-of-an-election-heres-what-could-happen-next.html,Sep-04,,,,
67,bing,Boris Johnson,"What Is Boris Johnson""s Brexit Position? EU Braces for ...",https://www.bloomberg.com/news/articles/2019-07-23/braced-for-johnson-europe-tries-to-gauge-unpredictable-leader,Jul-23,,,,
68,bing,Boris Johnson,"Brexit: Does Boris Johnson""s lie to the Queen really matter?",https://www.smh.com.au/world/europe/does-it-really-matter-whether-boris-johnson-lied-to-the-queen-20190913-p52qx5.html,"The Queen agreed to prorogue Parliament on Boris Johnson""s request. Credit: AP The story so far: in late August",,,,
69,bing,Boris Johnson,Was Boris Johnson’s great grandfather an Ottoman traitor ...,https://www.al-monitor.com/pulse/originals/2019/07/turkey-controversy-about-boris-johnson-great-grandfather.html,Aug-01,,,,
70,bing,Boris Johnson,Profile: Boris Johnson | Reuters.com,https://www.reuters.com/news/picture/profile-boris-johnson-idUSRTX70OBK,Jul-23,,,,
71,bing,Boris Johnson,Boris Johnson - Bio,,,," and more.""	21800000",,
72,bing,Boris Johnson,Opinion: Boris Johnson and Donald Trump,,,,,,
73,bing,Boris Johnson,Why do some people dislike Boris Johnson? - Quora,https://www.quora.com/Why-do-some-people-dislike-Boris-Johnson,Many people dislike Alexander de Pfeffel Boris Johnson; and for good reason,,,,
74,bing,Boris Johnson,Boris Johnson divorce: Does Boris Johnson have children ...,https://www.express.co.uk/news/politics/1014416/Boris-Johnson-divorce-does-Boris-Johnson-have-children-wife-Marina-Wheeler,Sep-07,,,,
75,bing,Boris Johnson,Prime Minister Boris Johnson Asks Queen to Suspend ...,https://people.com/royals/boris-johnson-asks-queen-elizabeth-suspend-parliament-ahead-brexit/,Aug-28,,,,
76,bing,Boris Johnson,Boris Johnson loses parliamentary majority in UK | TheHill,https://thehill.com/policy/international/459728-boris-johnson-loses-parliamentary-majority,Sep-03,,,,
77,bing,Boris Johnson,Boris Johnson pressured to resign after Supreme Court ...,https://www.news.com.au/finance/business/media/humiliated-boris-johnson-faces-renewed-pressure-to-resign/news-story/53d142684d7df65c5d09ad2c14032bc2,Sep-25,,,,
78,bing,Boris Johnson,"What breed is Boris Johnson""s new dog and what is his name ...",https://metro.co.uk/2019/09/03/breed-boris-johnsons-new-dog-name-10676681/,Sep-03,,,,
79,bing,Boris Johnson,"Boris Johnson confronted by furious parent of ""gravely ill ...",https://www.standard.co.uk/news/uk/boris-johnson-confronted-by-angry-parent-over-nhs-waiting-times-during-hospital-visit-in-northeast-a4240046.html,"Boris Johnson was confronted by a parent of a ""gravely ill"" child over NHS waiting times during a hospital visit in London. The man",,,,
80,bing,Boris Johnson,5 Jewish things to know about Boris Johnson - Jewish ...,https://www.jta.org/2019/07/23/global/5-jewish-things-to-know-about-boris-johnson,Jul-23,,,,
81,bing,Boris Johnson,Did Boris Johnson Just Rope-a-Dope His Way into a Hard Brexit?,https://www.americanthinker.com/articles/2019/09/did_boris_johnson_just_ropeadope_his_way_into_a_hard_brexit.html,Sep-08,,,,
82,bing,Boris Johnson,How Boris Johnson Will Approach UK-China Relations – The ...,https://thediplomat.com/2019/08/how-boris-johnson-will-approach-uk-china-relations/,Boris Johnson,,,,
83,bing,Boris Johnson,Boris Johnson’s confusing and contradictory religious ...,https://www.economist.com/erasmus/2019/07/27/boris-johnsons-confusing-and-contradictory-religious-history,Religion and British politics Boris Johnson’s confusing and contradictory religious history. From the Roman to the Abrahamic,,,,
84,bing,Boris Johnson,"""I am a passionate Zionist",,,,,,
85,bing,Boris Johnson,Boris Johnson – Wikipedie,https://cs.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (* 19. června 1964 New York) je britský politik,,,,
86,bing,Boris Johnson,"What You Didn""t Know About Boris Johnson""s Turkish Roots",https://armenianweekly.com/2018/06/22/boris-johnsons-great-grandfather-tried-to-save-the-armenians/,Curiously enough,,,,
87,bing,Boris Johnson,Boris Johnson Height - Celebrity Heights,https://www.celebheights.com/s/Boris-Johnson-47354.html,Find out how tall Boris Johnson is,,,,
88,bing,Boris Johnson,Boris Johnson Lied to the Queen - VICE,https://www.vice.com/en_uk/article/pa7a4b/boris-johnson-lie-queen-prorogue,Sep-11,,,,
89,bing,Boris Johnson,Boris Johnson’s U.K. Majority Cut to One After Special ...,https://news.yahoo.com/boris-johnsons-u-k-majority-012505150.html,Aug-02,,,,
90,bing,Boris Johnson,Boris Johnson Has Badly Miscalculated - news.yahoo.com,https://news.yahoo.com/boris-johnson-badly-miscalculated-040151698.html,Sep-05,,,,
91,bing,Boris Johnson,Marina Wheeler - Wikipedia,https://en.wikipedia.org/wiki/Marina_Wheeler,On 8 May 1993,," Cassia Peaches and Theodore Apollo.""	21800000",,
92,bing,Boris Johnson,"Boris Johnson""s most offensive comments as he becomes Tory ...",https://www.indy100.com/article/boris-johnson-tory-leadership-theresa-may-racist-sexist-comments-8917876,Jun-20,,,,
93,bing,Boris Johnson,Revolt Against Boris Johnson Exposes Republican Complicity ...,https://theintercept.com/2019/09/04/boris-johnson-brexit-trump/,Sep-04,,,,
94,bing,Boris Johnson,Boris Johnson Brexit deal LIVE: Stephen Barclay meets with ...,https://www.standard.co.uk/news/politics/barclay-and-barnier-to-meet-after-positive-ukireland-talks-live-a4259001.html,Shadow Brexit secretary Sir Keir Starmer said MPs were being “asked to guess” the detail of the Government’s proposals or take Prime Minister Boris Johnson’s word on them.,21800000,,,
95,bing,Boris Johnson,Category:Boris Johnson - Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Boris_Johnson,"Media in category ""Boris Johnson"" The following 4 files are in this category",,,,
96,bing,Boris Johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Boris sometimes seems affronted when criticised for what amounts to a gross failure of responsibility. I think he honestly believes that it is churlish of us not to regard him as an exception,,,,
97,bing,Boris Johnson,Boris Johnson announces suspension of UK parliament – POLITICO,https://www.politico.eu/article/boris-johnson-to-suspend-parliament-in-run-up-to-brexit-reports/,LONDON — The queen approved a request by Boris Johnson Wednesday to suspend the U.K. parliament for almost a month in the run-up to Brexit. The House of Commons will be suspended on a date between September 9 and September 12,,,,
98,bing,Boris Johnson,"Carrie Symonds: Who is Boris Johnson""s partner? - ITV News",https://www.itv.com/news/2019-06-22/carrie-symonds-who-is-boris-johnsons-partner/,Jun-22,,,,
99,bing,Boris Johnson,83 Notable Quotes By Boris Johnson,https://quotes.thefamouspeople.com/boris-johnson-4249.php,Boris Johnson is an eminent British historian,,,,
