result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
66,duckduckgo,Boris Johnson,Poll finds Boris Johnson more popular now than when he became PM ...,https://metro.co.uk/2019/09/17/boris-johnson-popular-now-became-pm-according-poll-10760940/,Boris Johnson is actually more popular now than when he was first elected (Picture: YouGov) They were sacked from the party - leading to a mass exodus of MPs quitting or defecting to join the Lib Dems.,150,,,
67,duckduckgo,Boris Johnson,Boris Johnson - inews.co.uk,https://inews.co.uk/tag/boris-johnson,Boris Johnson urges US to waive immunity for diplomat&#x27;s wife over fatal crash World. No need for court to force Boris Johnson to follow the law,,,,
68,duckduckgo,Boris Johnson,Johnson,,,,,,
69,duckduckgo,Boris Johnson,Boris Johnson told &#x27;please leave my town&#x27; by polite but brutally honest man,https://mashable.com/article/boris-johnson-please-leave-my-town/,UK Prime Minister Boris Johnson was politely told &quot;please leave my town&quot; by a passerby in Morley,,,,
70,duckduckgo,Boris Johnson,Boris Johnson - Het Nieuwsblad,https://www.nieuwsblad.be/tag/boris-johnson,Premier Boris Johnson zal dan toch een verlenging van Artikel 50 vragen als er geen Brexit-akkoord is na de Europese top van 19 oktober. Eerder had hij nochtans gezegd &quot;liever te sterven in een gracht...,150,,,
71,duckduckgo,Boris Johnson,Boris Johnson Faces a New Scandal,,,,,,
72,duckduckgo,Boris Johnson,Brexit chaos deepens after Supreme Court rules against Boris Johnson&#x27;s ...,https://www.ft.com/content/c1ae7f0c-8bca-39b5-91a5-02a1a9494732,Boris Johnson to return to the UK overnight. From George Parker in New York: Boris Johnson&#x27;s aides said the prime minister would not be resigning after the Supreme Court ruling,,,,
74,duckduckgo,Boris Johnson,Boris Johnson: &#x27;Alleen in theorie gebonden aan wet&#x27; - De Standaard,https://www.standaard.be/cnt/dmf20190907_04597087,Brits premier Boris Johnson lijkt niet van plan zich zomaar neer te leggen bij de wet die hem opdraagt aan de Europese Unie uitstel voor de Brexit te vragen. Hij zou aangegeven hebben dat hij &#x27;enkel in theorie&#x27; aan die wet gebonden is,,,,
75,duckduckgo,Boris Johnson,Boris Johnson popularity &amp; fame | YouGov,https://yougov.co.uk/topics/politics/explore/public_figure/Boris_Johnson,Boris Johnson is the most popular Conservative politician and the most famous. Boris Johnson is described by fans as: Conservative,,,,
76,duckduckgo,Boris Johnson,Boris Johnson Biography | Biography Online,https://www.biographyonline.net/politicians/uk/boris-johnson.html,Boris Johnson and Mayor of London. In July 2007,,,,
77,duckduckgo,Boris Johnson,Boris Johnson News - the latest from Al Jazeera,https://www.aljazeera.com/topics/people/boris-johnson.html,Boris Johnson 24 Sep 2019 20:38 GMT. UK: PM Johnson will be held to account vows Labour&#x27;s Corbyn &#x27;Unelected&#x27; prime minister should resign and become the shortest-serving leader in UK history,,,,
79,duckduckgo,Boris Johnson,5 Insane Quotes From Boris Johnson&#x27;s Bizarre UN Speech About Tech,https://futurism.com/insane-quotes-boris-johnson-un-speech,Opposition Labour leader Jeremy Corbyn even asked Johnson to resign following the defeat on Tuesday,,,,
80,duckduckgo,Boris Johnson,Boris Johnson News - the latest from Al Jazeera,https://www.aljazeera.com/topics/people/boris-johnson.html,Boris Johnson 24 Sep 2019 20:38 GMT. UK: PM Johnson will be held to account vows Labour&#x27;s Corbyn &#x27;Unelected&#x27; prime minister should resign and become the shortest-serving leader in UK history,,,,
82,duckduckgo,Boris Johnson,Boris Johnson y su peculiar familia | Gente y Famosos | EL PAÍS,https://elpais.com/elpais/2019/06/20/gente/1561044082_077521.html,Leo Johnson. En busca de la felicidad. Periodista,,,,
86,duckduckgo,Boris Johnson,Boris Johnson has four options to escape his Brexit mess. One of them ...,https://www.washingtonpost.com/world/europe/boris-johnson-has-four-options-to-escape-his-brexit-mess-one-of-them-is-to-go-to-jail/2019/09/08/1b56d7bc-d1ba-11e9-a620-0a91656d7db6_story.html,Sep-08,,,,
87,duckduckgo,Boris Johnson,Is it true that Boris Johnson is Turkish? - Quora,https://www.quora.com/Is-it-true-that-Boris-Johnson-is-Turkish,Boris Johnson is the grandson of Ali Kemal,,,,
88,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://nds.wikipedia.org/wiki/Boris_Johnson,Boris Johnson is 1964 as dat eerste vun veer Kinner vun Stanley Johnson un siene eerste Fro Charlotte Johnson-Wahl in New York boren wurrn. Vunwegen,,,,
89,duckduckgo,Boris Johnson,Boris Johnson - Wikipedie,https://cs.wikipedia.org/wiki/Boris_Johnson,Boris chodil do Evropské školy a naučil se francouzsky. V roce 1975 se jeho matka psychicky zhroutila a Boris a jeho sourozenci byli posláni do anglické internátní školy Ashdown House. Od roku 1977 studoval Boris Johnson na internátní předuniverzitní škole Eton College,,,,
90,duckduckgo,Boris Johnson,boris johnson - huffpost.com,https://www.huffpost.com/topic/boris-johnson,Boris Johnson said Anne Sacoolas&#x27; claim of diplomatic immunity is unjustified and he will personally take action if she doesn&#x27;t return.,150,,,
91,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://de.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (* 19. Juni 1964 in New York City,,,,
92,duckduckgo,Boris Johnson,Boris Johnson | Yahoo News UK,https://uk.news.yahoo.com/tagged/boris-johnson,The three scandals hanging over Boris Johnson as his first Tory conference as PM kicks off. As Mr Johnson&#x27;s first Conservative Party conference as Prime Minister kicked off,,,,
93,duckduckgo,Boris Johnson,Boris Johnson GIFs - Find &amp; Share on GIPHY,https://giphy.com/search/boris-johnson,Find GIFs with the latest and newest hashtags! Search,,,,
94,duckduckgo,Boris Johnson,Onenigheid over brexit: ook minister Boris Johnson treedt af | RTLZ,https://www.rtlz.nl/algemeen/artikel/4278671/onenigheid-over-brexit-ook-minister-boris-johnson-treedt-af,Boris Johnson is afgetreden als minister van Buitenlandse Zaken. Hij doet dat na onenigheid in het kabinet over de brexit-strategie. Het is een nieuwe tegenslag voor ...,150,,,
95,duckduckgo,Boris Johnson,Rt Hon Boris Johnson MP - UK Parliament,https://www.parliament.uk/biographies/commons/Boris-Johnson/1423,Rt Hon Boris Johnson MP Constituency. Uxbridge and South Ruislip Address as. Party. Conservative Contact Details ...,150,,,
96,duckduckgo,Boris Johnson,The Similarities Between Boris Johnson And Donald Trump - npr.org,https://www.npr.org/2019/07/23/744076619/boris-johnson-britains-next-prime-minister-shares-similarities-with-trump,Jul-23,,,,
99,duckduckgo,Boris Johnson,Boris Johnson creates 10,,,,,,
100,duckduckgo,Boris Johnson,Who is Boris Johnson,,,,,,
101,duckduckgo,Boris Johnson,About Boris - Boris Johnson,http://www.boris-johnson.com/about/,On May 2nd 2008,,,,
