result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
23,google,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the ...,1040000000,n/a,n/a
24,google,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable ...,1040000000,n/a,n/a
25,google,Donald Trump,Donald Trump News,,,,,
26,google,Donald Trump,Donald J. Trump | The Trump Organization | Luxury Real ...,https://www.trump.com/leadership/donald-j-trump-biography,Donald J. Trump is the very definition of the American success story,,,
27,google,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,
28,google,Donald Trump,Donald Trump: Inside the White House With the President - Time,https://time.com/donald-trump-after-hours/,President Donald Trump spends his time after hours in the White House with a mix of cable television news,,,
29,google,Donald Trump,Trump announces 'review' of Green Beret murder case: 'We ...,https://www.nbcnews.com/politics/donald-trump/trump-announces-review-green-beret-murder-case-we-train-our-n1065421,President Donald Trump used Twitter on Saturday morning to come to the defense of an army officer charged with murder and said the man's ...,1040000000,4 hours ago ,1570899690
30,google,Donald Trump,The Trump Organization | Luxury Real Estate Portfolio,https://www.trump.com/,Shop · Trump Hotels · Trump Golf · Trump International Realty · Book Trump Golf · Trump Store · Terms of Service · Privacy Policy; Copyright © 2019 The Trump ...,1040000000,n/a,n/a
31,google,Donald Trump,Trump's losses mount in stunning day of setbacks - CNNPolitics,https://www.cnn.com/2019/10/11/politics/donald-trump-court-rulings-bad-day/index.html,Washington (CNN) Five federal courts dealt blows to President Donald Trump on Friday just as the limits of his legal strategy to block an ...,1040000000,18 hours ago ,1570849290
32,google,Donald Trump,donald trump - Baltimore Sun,https://www.baltimoresun.com/topic/donald-trump-PEBSL000163-topic.html,Justice Department inspector general to review Trump decision not to move FBI headquarters ... Trump says teleprompter failed in speech that bungled history of ...,1040000000,n/a,n/a
33,google,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,
34,google,Donald Trump,Donald Trump: news,,,,,
35,google,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Coverage of the 45th president of the United States,,,
36,google,Donald Trump,Donald Trump | US News,https://www.usnews.com/topics/people/donald_trump,Yovanovitch: Trump Pushed for Removal. Marie Yovanovitch,,,
37,google,Donald Trump,Hive: Donald Trump News,,,,,
38,google,Donald Trump,President Trump (@POTUS) | Twitter,https://twitter.com/potus?lang=en,The latest Tweets from President Trump (@POTUS). 45th President of the United States of America,,,
39,google,Donald Trump,Can President Donald Trump really win Minnesota? | Star ...,http://www.startribune.com/can-president-donald-trump-really-win-minnesota/562922092/,There's no doubt that President Donald Trump is making a strong play for Minnesota,,,
40,google,Donald Trump,Impeachment: Defiant Donald Trump heads to Louisiana ...,https://www.usatoday.com/story/news/politics/elections/2019/10/11/impeachment-defiant-donald-trump-heads-louisiana-campaign-rally/3930306002/,President Donald Trump,,,
41,google,Donald Trump,Donald Trump | TheHill,https://thehill.com/person/donald-trump,Graham-Trump rollercoaster hits dizzying speed. Senate. Sen. Lindsey Graham (R-S.C.) has become one of President Trump's most vociferous critics on the ...,1040000000,n/a,n/a
42,google,Donald Trump,Donald Trump,,,,,
43,google,Donald Trump,Donald Trump's file | PolitiFact,https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,
44,google,Donald Trump,Opinion | Donald Trump Dreams of Presidential Infallibility ...,https://www.nytimes.com/2019/10/11/opinion/trump-impeachment-congress.html,The news cycle has already blown past it,,,
45,google,Donald Trump,President Donald J. Trump - Home | Facebook,https://www.facebook.com/POTUS/,President Donald J. Trump. 2.8M likes. 45th President of the United States. Working on behalf of the American people to make our country great again....,1040000000,n/a,n/a
46,google,Donald Trump,Donald Trump's store - Donald J. Trump,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,1040000000,n/a,n/a
47,google,Donald Trump,Bloomberg Billionaires Index - Donald Trump,https://www.bloomberg.com/billionaires/profiles/donald-j-trump/,View profiles for each of the world's 500 richest people,,,
48,google,Donald Trump,Roundup of Trump impeachment inquiry on October 11 ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-11-19/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,1040000000,12 hours ago ,1570870892
49,google,Donald Trump,Steve Schwarzman: Here's what people get wrong about ...,https://finance.yahoo.com/news/blackstone-ceo-steve-schwarzman-on-trump-tweets-143310544.html,Billionaire private equity chief Stephen A. Schwarzman,,,
